2019-09-16 11:33:17,049 [Bnd-Processor,pool-4-thread-9] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/apache/aries/jpa/javax/persistence/org.apache.aries.jpa.javax.persistence.parent/2.7.0/org.apache.aries.jpa.javax.persistence.parent-2.7.0.pom
2019-09-16 11:33:17,069 [Bnd-Processor,pool-4-thread-5] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/apache/felix/org.apache.felix.http.parent/7/org.apache.felix.http.parent-7.pom
2019-09-16 11:33:17,106 [Bnd-Processor,pool-4-thread-9] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/apache/aries/jpa/javax/persistence/org.apache.aries.jpa.javax.persistence.parent/2.7.0/org.apache.aries.jpa.javax.persistence.parent-2.7.0.pom.sha1
2019-09-16 11:33:17,123 [Bnd-Processor,pool-4-thread-5] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/apache/felix/org.apache.felix.http.parent/7/org.apache.felix.http.parent-7.pom.sha1
2019-09-16 11:33:17,151 [Bnd-Processor,pool-4-thread-6] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/apache/aries/jax/rs/org.apache.aries.jax.rs/1.0.0/org.apache.aries.jax.rs-1.0.0.pom
2019-09-16 11:33:17,166 [Bnd-Processor,pool-4-thread-5] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/apache/felix/felix-parent/3/felix-parent-3.pom
2019-09-16 11:33:17,203 [Bnd-Processor,pool-4-thread-6] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/apache/aries/jax/rs/org.apache.aries.jax.rs/1.0.0/org.apache.aries.jax.rs-1.0.0.pom.sha1
2019-09-16 11:33:17,250 [Bnd-Processor,pool-4-thread-5] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/apache/felix/felix-parent/3/felix-parent-3.pom.sha1
2019-09-16 11:33:17,256 [Bnd-Processor,pool-4-thread-9] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/apache/aries/jpa/org.apache.aries.jpa.parent/2.7.0/org.apache.aries.jpa.parent-2.7.0.pom
2019-09-16 11:33:17,308 [Bnd-Processor,pool-4-thread-5] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/apache/apache/17/apache-17.pom
2019-09-16 11:33:17,376 [Bnd-Processor,pool-4-thread-5] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/apache/apache/17/apache-17.pom.sha1
2019-09-16 11:33:17,474 [Bnd-Processor,pool-4-thread-6] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/apache/geronimo/specs/geronimo-osgi-locator/1.0/geronimo-osgi-locator-1.0.pom
2019-09-16 11:33:17,557 [Bnd-Processor,pool-4-thread-14] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/apache/felix/org.apache.felix.http.servlet-api/1.1.2/org.apache.felix.http.servlet-api-1.1.2.jar
2019-09-16 11:33:17,557 [Bnd-Processor,pool-4-thread-15] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/osgi/osgi.annotation/6.0.1/osgi.annotation-6.0.1.pom
